[RUN] method=adaptformer dataset=dtd classes=47 trainable=1,225,787 (1.409%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=5.0692  test_acc=1.86  best=1.86  (43s)
  epoch 2/20  loss=5.0925  test_acc=2.34  best=2.34  (1s)
  epoch 3/20  loss=4.5268  (no eval)  (1s)
  epoch 4/20  loss=3.5697  test_acc=10.05  best=10.05  (1s)
  epoch 5/20  loss=2.8509  (no eval)  (1s)
  epoch 6/20  loss=2.1350  test_acc=21.17  best=21.17  (1s)
  epoch 7/20  loss=1.6653  (no eval)  (1s)
  epoch 8/20  loss=1.3229  test_acc=31.97  best=31.97  (1s)
  epoch 9/20  loss=1.1098  (no eval)  (1s)
  epoch 10/20  loss=1.0402  test_acc=40.48  best=40.48  (1s)
  epoch 11/20  loss=0.9248  (no eval)  (1s)
  epoch 12/20  loss=0.9099  test_acc=43.40  best=43.40  (1s)
  epoch 13/20  loss=0.8868  (no eval)  (1s)
  epoch 14/20  loss=0.8747  test_acc=43.30  best=43.40  (1s)
  epoch 15/20  loss=0.8738  (no eval)  (1s)
  epoch 16/20  loss=0.8577  test_acc=43.40  best=43.40  (1s)
  epoch 17/20  loss=0.8525  (no eval)  (1s)
  epoch 18/20  loss=0.8474  test_acc=43.35  best=43.40  (1s)
  epoch 19/20  loss=0.8389  test_acc=43.40  best=43.40  (1s)
  epoch 20/20  loss=0.8483  test_acc=43.46  best=43.46  (1s)
[DONE] adaptformer/dtd  best_acc=43.46  trainable%=1.409  mem=6829MB  time=147s
