[RUN] method=linear_probe dataset=dtd classes=47 trainable=36,143 (0.042%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=4.7245  test_acc=11.60  best=11.60  (42s)
  epoch 2/20  loss=2.7955  test_acc=56.65  best=56.65  (3s)
  epoch 3/20  loss=1.5661  (no eval)  (3s)
  epoch 4/20  loss=1.2161  test_acc=72.50  best=72.50  (3s)
  epoch 5/20  loss=1.0335  (no eval)  (3s)
  epoch 6/20  loss=0.9411  test_acc=72.45  best=72.50  (3s)
  epoch 7/20  loss=0.8866  (no eval)  (3s)
  epoch 8/20  loss=0.8652  test_acc=71.81  best=72.50  (3s)
  epoch 9/20  loss=0.8432  (no eval)  (3s)
  epoch 10/20  loss=0.8306  test_acc=72.13  best=72.50  (3s)
  epoch 11/20  loss=0.8193  (no eval)  (3s)
  epoch 12/20  loss=0.8127  test_acc=71.97  best=72.50  (3s)
  epoch 13/20  loss=0.8054  (no eval)  (3s)
  epoch 14/20  loss=0.7998  test_acc=72.02  best=72.50  (3s)
  epoch 15/20  loss=0.7958  (no eval)  (3s)
  epoch 16/20  loss=0.7926  test_acc=72.71  best=72.71  (3s)
  epoch 17/20  loss=0.7912  (no eval)  (3s)
  epoch 18/20  loss=0.7882  test_acc=72.34  best=72.71  (3s)
  epoch 19/20  loss=0.7897  test_acc=72.39  best=72.71  (3s)
  epoch 20/20  loss=0.7892  test_acc=72.39  best=72.71  (3s)
[DONE] linear_probe/dtd  best_acc=72.71  trainable%=0.042  mem=1752MB  time=183s
