[RUN] method=lora_ssf dataset=dtd classes=47 trainable=404,783 (0.470%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=5.0730  test_acc=1.97  best=1.97  (42s)
  epoch 2/20  loss=4.5997  test_acc=5.64  best=5.64  (2s)
  epoch 3/20  loss=3.6250  (no eval)  (3s)
  epoch 4/20  loss=2.8298  test_acc=27.18  best=27.18  (2s)
  epoch 5/20  loss=2.1520  (no eval)  (2s)
  epoch 6/20  loss=1.6501  test_acc=43.40  best=43.40  (3s)
  epoch 7/20  loss=1.3513  (no eval)  (3s)
  epoch 8/20  loss=1.1530  test_acc=53.72  best=53.72  (3s)
  epoch 9/20  loss=1.0857  (no eval)  (3s)
  epoch 10/20  loss=1.0173  test_acc=57.82  best=57.82  (3s)
  epoch 11/20  loss=0.9582  (no eval)  (3s)
  epoch 12/20  loss=0.9347  test_acc=58.14  best=58.14  (3s)
  epoch 13/20  loss=0.9074  (no eval)  (3s)
  epoch 14/20  loss=0.8893  test_acc=57.87  best=58.14  (3s)
  epoch 15/20  loss=0.8753  (no eval)  (3s)
  epoch 16/20  loss=0.8534  test_acc=56.97  best=58.14  (3s)
  epoch 17/20  loss=0.8470  (no eval)  (3s)
  epoch 18/20  loss=0.8368  test_acc=57.13  best=58.14  (3s)
  epoch 19/20  loss=0.8371  test_acc=57.13  best=58.14  (3s)
  epoch 20/20  loss=0.8296  test_acc=57.23  best=58.14  (3s)
[DONE] lora_ssf/dtd  best_acc=58.14  trainable%=0.470  mem=9798MB  time=196s
