[RUN] method=lora dataset=dtd classes=47 trainable=73,007 (0.085%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=4.3271  test_acc=36.70  best=36.70  (54s)
  epoch 2/20  loss=1.9511  test_acc=72.87  best=72.87  (16s)
  epoch 3/20  loss=1.2814  test_acc=77.77  best=77.77  (16s)
  epoch 4/20  loss=1.0613  test_acc=79.41  best=79.41  (16s)
  epoch 5/20  loss=0.9622  test_acc=79.36  best=79.41  (16s)
  epoch 6/20  loss=0.9088  test_acc=79.31  best=79.41  (16s)
  epoch 7/20  loss=0.8680  test_acc=79.52  best=79.52  (16s)
  epoch 8/20  loss=0.8441  test_acc=79.95  best=79.95  (17s)
  epoch 9/20  loss=0.8228  test_acc=79.89  best=79.95  (16s)
  epoch 10/20  loss=0.8120  test_acc=79.57  best=79.95  (17s)
  epoch 11/20  loss=0.7999  test_acc=80.21  best=80.21  (16s)
  epoch 12/20  loss=0.7902  test_acc=80.27  best=80.27  (16s)
  epoch 13/20  loss=0.7848  test_acc=80.11  best=80.27  (16s)
  epoch 14/20  loss=0.7808  test_acc=80.16  best=80.27  (17s)
  epoch 15/20  loss=0.7769  test_acc=80.43  best=80.43  (16s)
  epoch 16/20  loss=0.7745  test_acc=80.48  best=80.48  (17s)
  epoch 17/20  loss=0.7734  test_acc=80.37  best=80.48  (16s)
  epoch 18/20  loss=0.7720  test_acc=80.27  best=80.48  (16s)
  epoch 19/20  loss=0.7709  test_acc=80.37  best=80.48  (17s)
  epoch 20/20  loss=0.7715  test_acc=80.37  best=80.48  (16s)
[DONE] lora/dtd  best_acc=80.48  trainable%=0.085  mem=7115MB  time=493s
