[RUN] method=ssf dataset=dtd classes=47 trainable=109,871 (0.128%) lr=0.003 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.3978  test_acc=68.88  best=68.88  (50s)
  epoch 2/20  loss=1.4188  test_acc=78.03  best=78.03  (13s)
  epoch 3/20  loss=1.1694  (no eval)  (13s)
  epoch 4/20  loss=1.0442  test_acc=78.72  best=78.72  (13s)
  epoch 5/20  loss=0.9657  (no eval)  (13s)
  epoch 6/20  loss=0.9288  test_acc=78.67  best=78.72  (14s)
  epoch 7/20  loss=0.8689  (no eval)  (14s)
  epoch 8/20  loss=0.8323  test_acc=79.47  best=79.47  (14s)
  epoch 9/20  loss=0.8070  (no eval)  (14s)
  epoch 10/20  loss=0.7917  test_acc=80.80  best=80.80  (14s)
  epoch 11/20  loss=0.7816  (no eval)  (14s)
  epoch 12/20  loss=0.7720  test_acc=80.69  best=80.80  (14s)
  epoch 13/20  loss=0.7666  (no eval)  (14s)
  epoch 14/20  loss=0.7623  test_acc=81.70  best=81.70  (15s)
  epoch 15/20  loss=0.7585  (no eval)  (15s)
  epoch 16/20  loss=0.7560  test_acc=81.54  best=81.70  (14s)
  epoch 17/20  loss=0.7557  (no eval)  (15s)
  epoch 18/20  loss=0.7546  test_acc=81.33  best=81.70  (14s)
  epoch 19/20  loss=0.7534  test_acc=81.22  best=81.70  (14s)
  epoch 20/20  loss=0.7526  test_acc=81.28  best=81.70  (15s)
[DONE] ssf/dtd  best_acc=81.70  trainable%=0.128  mem=8899MB  time=402s
