[RUN] method=lora dataset=dtd classes=47 trainable=331,055 (0.384%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=5.1337  test_acc=2.02  best=2.02  (42s)
  epoch 2/20  loss=4.8370  test_acc=4.04  best=4.04  (2s)
  epoch 3/20  loss=3.8356  (no eval)  (1s)
  epoch 4/20  loss=2.7595  test_acc=25.90  best=25.90  (1s)
  epoch 5/20  loss=2.0349  (no eval)  (1s)
  epoch 6/20  loss=1.5466  test_acc=45.16  best=45.16  (1s)
  epoch 7/20  loss=1.2957  (no eval)  (2s)
  epoch 8/20  loss=1.0963  test_acc=53.56  best=53.56  (2s)
  epoch 9/20  loss=1.0130  (no eval)  (1s)
  epoch 10/20  loss=0.9412  test_acc=57.29  best=57.29  (1s)
  epoch 11/20  loss=0.9297  (no eval)  (2s)
  epoch 12/20  loss=0.9169  test_acc=57.77  best=57.77  (2s)
  epoch 13/20  loss=0.8733  (no eval)  (2s)
  epoch 14/20  loss=0.8491  test_acc=57.93  best=57.93  (2s)
  epoch 15/20  loss=0.8431  (no eval)  (2s)
  epoch 16/20  loss=0.8385  test_acc=58.03  best=58.03  (2s)
  epoch 17/20  loss=0.8216  (no eval)  (2s)
  epoch 18/20  loss=0.8235  test_acc=57.61  best=58.03  (2s)
  epoch 19/20  loss=0.8208  test_acc=57.61  best=58.03  (2s)
  epoch 20/20  loss=0.8130  test_acc=57.55  best=58.03  (2s)
[DONE] lora/dtd  best_acc=58.03  trainable%=0.384  mem=7127MB  time=158s
