[RUN] method=bitfit dataset=dtd classes=47 trainable=139,055 (0.162%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=5.2167  test_acc=2.23  best=2.23  (41s)
  epoch 2/20  loss=4.7466  test_acc=3.88  best=3.88  (1s)
  epoch 3/20  loss=3.8295  (no eval)  (1s)
  epoch 4/20  loss=2.9473  test_acc=23.46  best=23.46  (1s)
  epoch 5/20  loss=2.1852  (no eval)  (1s)
  epoch 6/20  loss=1.6659  test_acc=40.85  best=40.85  (1s)
  epoch 7/20  loss=1.3614  (no eval)  (1s)
  epoch 8/20  loss=1.1658  test_acc=50.74  best=50.74  (1s)
  epoch 9/20  loss=1.0400  (no eval)  (1s)
  epoch 10/20  loss=0.9819  test_acc=54.15  best=54.15  (1s)
  epoch 11/20  loss=0.9475  (no eval)  (1s)
  epoch 12/20  loss=0.9147  test_acc=55.11  best=55.11  (1s)
  epoch 13/20  loss=0.8927  (no eval)  (1s)
  epoch 14/20  loss=0.8662  test_acc=55.90  best=55.90  (1s)
  epoch 15/20  loss=0.8576  (no eval)  (1s)
  epoch 16/20  loss=0.8462  test_acc=55.80  best=55.90  (1s)
  epoch 17/20  loss=0.8407  (no eval)  (1s)
  epoch 18/20  loss=0.8385  test_acc=55.53  best=55.90  (1s)
  epoch 19/20  loss=0.8335  test_acc=55.48  best=55.90  (1s)
  epoch 20/20  loss=0.8293  test_acc=55.53  best=55.90  (1s)
[DONE] bitfit/dtd  best_acc=55.90  trainable%=0.162  mem=6349MB  time=147s
