[RUN] method=lora dataset=dtd classes=47 trainable=625,967 (0.724%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=4.2058  test_acc=43.51  best=43.51  (50s)
  epoch 2/20  loss=1.6943  test_acc=76.28  best=76.28  (13s)
  epoch 3/20  loss=1.2039  test_acc=79.36  best=79.36  (13s)
  epoch 4/20  loss=1.0214  test_acc=80.00  best=80.00  (13s)
  epoch 5/20  loss=0.9201  test_acc=79.95  best=80.00  (13s)
  epoch 6/20  loss=0.8574  test_acc=80.37  best=80.37  (13s)
  epoch 7/20  loss=0.8275  test_acc=80.37  best=80.37  (13s)
  epoch 8/20  loss=0.7971  test_acc=80.85  best=80.85  (13s)
  epoch 9/20  loss=0.7758  test_acc=81.38  best=81.38  (13s)
  epoch 10/20  loss=0.7654  test_acc=81.70  best=81.70  (13s)
  epoch 11/20  loss=0.7552  test_acc=81.81  best=81.81  (13s)
  epoch 12/20  loss=0.7473  test_acc=82.13  best=82.13  (13s)
  epoch 13/20  loss=0.7436  test_acc=82.13  best=82.13  (13s)
  epoch 14/20  loss=0.7404  test_acc=82.02  best=82.13  (13s)
  epoch 15/20  loss=0.7382  test_acc=82.13  best=82.13  (13s)
  epoch 16/20  loss=0.7363  test_acc=82.66  best=82.66  (13s)
  epoch 17/20  loss=0.7358  test_acc=82.39  best=82.66  (13s)
  epoch 18/20  loss=0.7358  test_acc=82.55  best=82.66  (13s)
  epoch 19/20  loss=0.7342  test_acc=82.39  best=82.66  (13s)
  epoch 20/20  loss=0.7339  test_acc=82.55  best=82.66  (13s)
[DONE] lora/dtd  best_acc=82.66  trainable%=0.724  mem=7140MB  time=406s
