[RUN] method=lora dataset=dtd classes=47 trainable=331,055 (0.384%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=4.0885  test_acc=48.62  best=48.62  (81s)
  epoch 2/20  loss=1.6636  test_acc=75.43  best=75.43  (22s)
  epoch 3/20  loss=1.1887  (no eval)  (24s)
  epoch 4/20  loss=1.0113  test_acc=79.68  best=79.68  (26s)
  epoch 5/20  loss=0.9118  (no eval)  (24s)
  epoch 6/20  loss=0.8574  test_acc=80.16  best=80.16  (25s)
  epoch 7/20  loss=0.8264  (no eval)  (25s)
  epoch 8/20  loss=0.8033  test_acc=80.59  best=80.59  (27s)
  epoch 9/20  loss=0.7823  (no eval)  (26s)
  epoch 10/20  loss=0.7626  test_acc=82.18  best=82.18  (25s)
  epoch 11/20  loss=0.7529  (no eval)  (26s)
  epoch 12/20  loss=0.7455  test_acc=82.87  best=82.87  (27s)
  epoch 13/20  loss=0.7386  (no eval)  (26s)
  epoch 14/20  loss=0.7357  test_acc=82.66  best=82.87  (25s)
  epoch 15/20  loss=0.7331  (no eval)  (27s)
  epoch 16/20  loss=0.7312  test_acc=82.61  best=82.87  (25s)
  epoch 17/20  loss=0.7293  (no eval)  (26s)
  epoch 18/20  loss=0.7294  test_acc=82.71  best=82.87  (27s)
  epoch 19/20  loss=0.7284  test_acc=82.93  best=82.93  (26s)
  epoch 20/20  loss=0.7287  test_acc=83.03  best=83.03  (28s)
[DONE] lora/dtd  best_acc=83.03  trainable%=0.384  mem=7127MB  time=703s
