[RUN] method=vpt dataset=dtd classes=47 trainable=74,543 (0.087%) lr=0.005 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=3.2118  test_acc=64.52  best=64.52  (49s)
  epoch 2/20  loss=1.7300  test_acc=70.00  best=70.00  (12s)
  epoch 3/20  loss=1.4191  (no eval)  (13s)
  epoch 4/20  loss=1.2265  test_acc=75.21  best=75.21  (13s)
  epoch 5/20  loss=1.0965  (no eval)  (13s)
  epoch 6/20  loss=1.0299  test_acc=76.12  best=76.12  (13s)
  epoch 7/20  loss=0.9617  (no eval)  (14s)
  epoch 8/20  loss=0.9324  test_acc=76.54  best=76.54  (14s)
  epoch 9/20  loss=0.8949  (no eval)  (14s)
  epoch 10/20  loss=0.8577  test_acc=78.09  best=78.09  (14s)
  epoch 11/20  loss=0.8355  (no eval)  (14s)
  epoch 12/20  loss=0.8197  test_acc=78.72  best=78.72  (14s)
  epoch 13/20  loss=0.8078  (no eval)  (14s)
  epoch 14/20  loss=0.8001  test_acc=78.51  best=78.72  (14s)
  epoch 15/20  loss=0.7952  (no eval)  (14s)
  epoch 16/20  loss=0.7895  test_acc=78.56  best=78.72  (14s)
  epoch 17/20  loss=0.7874  (no eval)  (14s)
  epoch 18/20  loss=0.7847  test_acc=78.99  best=78.99  (14s)
  epoch 19/20  loss=0.7846  test_acc=78.99  best=78.99  (14s)
  epoch 20/20  loss=0.7831  test_acc=78.94  best=78.99  (14s)
[DONE] vpt/dtd  best_acc=78.99  trainable%=0.087  mem=7769MB  time=397s
