[RUN] method=lora dataset=dtd classes=47 trainable=331,055 (0.384%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=4.2544  test_acc=39.79  best=39.79  (49s)
  epoch 2/20  loss=1.7921  test_acc=74.26  best=74.26  (13s)
  epoch 3/20  loss=1.2191  (no eval)  (13s)
  epoch 4/20  loss=1.0323  test_acc=79.79  best=79.79  (13s)
  epoch 5/20  loss=0.9367  (no eval)  (13s)
  epoch 6/20  loss=0.8721  test_acc=80.85  best=80.85  (14s)
  epoch 7/20  loss=0.8388  (no eval)  (14s)
  epoch 8/20  loss=0.8074  test_acc=80.48  best=80.85  (14s)
  epoch 9/20  loss=0.7874  (no eval)  (14s)
  epoch 10/20  loss=0.7739  test_acc=81.06  best=81.06  (14s)
  epoch 11/20  loss=0.7657  (no eval)  (14s)
  epoch 12/20  loss=0.7590  test_acc=81.06  best=81.06  (14s)
  epoch 13/20  loss=0.7531  (no eval)  (14s)
  epoch 14/20  loss=0.7511  test_acc=81.01  best=81.06  (14s)
  epoch 15/20  loss=0.7486  (no eval)  (14s)
  epoch 16/20  loss=0.7461  test_acc=81.38  best=81.38  (14s)
  epoch 17/20  loss=0.7444  (no eval)  (14s)
  epoch 18/20  loss=0.7441  test_acc=81.44  best=81.44  (14s)
  epoch 19/20  loss=0.7434  test_acc=81.49  best=81.49  (14s)
  epoch 20/20  loss=0.7435  test_acc=81.44  best=81.49  (14s)
[DONE] lora/dtd  best_acc=81.49  trainable%=0.384  mem=7127MB  time=400s
