[RUN] method=adaptformer dataset=dtd classes=47 trainable=192,923 (0.224%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=4.2886  test_acc=38.14  best=38.14  (80s)
  epoch 2/20  loss=1.8542  test_acc=74.47  best=74.47  (24s)
  epoch 3/20  loss=1.2503  (no eval)  (22s)
  epoch 4/20  loss=1.0681  test_acc=79.15  best=79.15  (24s)
  epoch 5/20  loss=0.9710  (no eval)  (23s)
  epoch 6/20  loss=0.9062  test_acc=79.41  best=79.41  (22s)
  epoch 7/20  loss=0.8642  (no eval)  (23s)
  epoch 8/20  loss=0.8374  test_acc=80.53  best=80.53  (23s)
  epoch 9/20  loss=0.8174  (no eval)  (24s)
  epoch 10/20  loss=0.8005  test_acc=80.80  best=80.80  (22s)
  epoch 11/20  loss=0.7872  (no eval)  (23s)
  epoch 12/20  loss=0.7781  test_acc=80.96  best=80.96  (23s)
  epoch 13/20  loss=0.7720  (no eval)  (23s)
  epoch 14/20  loss=0.7674  test_acc=80.80  best=80.96  (24s)
  epoch 15/20  loss=0.7619  (no eval)  (24s)
  epoch 16/20  loss=0.7610  test_acc=81.12  best=81.12  (24s)
  epoch 17/20  loss=0.7582  (no eval)  (23s)
  epoch 18/20  loss=0.7589  test_acc=81.33  best=81.33  (22s)
  epoch 19/20  loss=0.7577  test_acc=81.33  best=81.33  (24s)
  epoch 20/20  loss=0.7574  test_acc=81.33  best=81.33  (25s)
[DONE] adaptformer/dtd  best_acc=81.33  trainable%=0.224  mem=6751MB  time=660s
