[RUN] method=bitfit dataset=dtd classes=47 trainable=139,055 (0.162%) lr=0.001 epochs=20 amp=torch.bfloat16
  epoch 1/20  loss=4.6408  test_acc=13.19  best=13.19  (48s)
  epoch 2/20  loss=2.6863  test_acc=59.15  best=59.15  (6s)
  epoch 3/20  loss=1.4998  (no eval)  (6s)
  epoch 4/20  loss=1.1751  test_acc=73.14  best=73.14  (6s)
  epoch 5/20  loss=1.0381  (no eval)  (7s)
  epoch 6/20  loss=0.9382  test_acc=75.32  best=75.32  (7s)
  epoch 7/20  loss=0.8795  (no eval)  (7s)
  epoch 8/20  loss=0.8501  test_acc=75.59  best=75.59  (7s)
  epoch 9/20  loss=0.8283  (no eval)  (7s)
  epoch 10/20  loss=0.8081  test_acc=76.01  best=76.01  (7s)
  epoch 11/20  loss=0.7976  (no eval)  (7s)
  epoch 12/20  loss=0.7905  test_acc=75.48  best=76.01  (7s)
  epoch 13/20  loss=0.7841  (no eval)  (7s)
  epoch 14/20  loss=0.7795  test_acc=76.17  best=76.17  (7s)
  epoch 15/20  loss=0.7754  (no eval)  (7s)
  epoch 16/20  loss=0.7726  test_acc=75.80  best=76.17  (7s)
  epoch 17/20  loss=0.7715  (no eval)  (7s)
  epoch 18/20  loss=0.7697  test_acc=75.69  best=76.17  (7s)
  epoch 19/20  loss=0.7686  test_acc=75.53  best=76.17  (7s)
  epoch 20/20  loss=0.7691  test_acc=75.64  best=76.17  (7s)
[DONE] bitfit/dtd  best_acc=76.17  trainable%=0.162  mem=6349MB  time=262s
