run_id,tag,method,dataset,backbone,train_fraction,num_classes,epochs,batch_size,lr,seed,trainable_params,total_params,pct_trainable,best_acc,final_acc,peak_mem_mb,train_time_s,time_per_epoch_s,throughput_img_s,model,lora_r,adapter_dim,vpt_prompts
main__vit_s__ssf__cifar100__s42__f100__r8__a64__p20,main,ssf,cifar100,vit_s,1.0,100,6,128,0.002,42,75364,21741028,0.3466,91.28,91.28,4376.7,597.3,99.5,501.5,vit_small_patch16_224.augreg_in21k,8,64,20
main__vit_s__vpt__cifar100__s42__f100__r8__a64__p20,main,vpt,cifar100,vit_s,1.0,100,6,128,0.005,42,46180,21711844,0.2127,89.27,89.27,3393.8,508.1,84.7,589.5,vit_small_patch16_224.augreg_in21k,8,64,20
main__vit_s__lora__cifar100__s42__f100__r8__a64__p20,main,lora,cifar100,vit_s,1.0,100,6,128,0.001,42,185956,21851620,0.851,91.33,91.29,3509.7,592.5,98.8,505.5,vit_small_patch16_224.augreg_in21k,8,64,20
main__vit_s__adaptformer__cifar100__s42__f100__r8__a64__p20,main,adaptformer,cifar100,vit_s,1.0,100,6,128,0.001,42,633712,22299376,2.8418,91.44,91.43,3384.7,510.9,85.2,586.2,vit_small_patch16_224.augreg_in21k,8,64,20
main__vit_s__lora_ssf__cifar100__s42__f100__r8__a64__p20,main,lora_ssf,cifar100,vit_s,1.0,100,6,128,0.001,42,222820,21888484,1.018,91.49,91.49,4839.5,725.6,120.9,412.8,vit_small_patch16_224.augreg_in21k,8,64,20
main__vit_s__full_ft__cifar100__s42__f100__r8__a64__p20,main,full_ft,cifar100,vit_s,1.0,100,6,128,0.0001,42,21704164,21704164,100.0,91.43,91.43,4607.3,643.4,107.2,465.5,vit_small_patch16_224.augreg_in21k,8,64,20
main__vit_s__linear_probe__cifar10__s42__f100__r8__a64__p20,main,linear_probe,cifar10,vit_s,1.0,10,3,128,0.001,42,3850,21669514,0.0178,95.74,95.74,914.3,180.5,60.2,829.9,vit_small_patch16_224.augreg_in21k,8,64,20
main__vit_s__bitfit__cifar10__s42__f100__r8__a64__p20,main,bitfit,cifar10,vit_s,1.0,10,3,128,0.001,42,55306,21669514,0.2552,98.43,98.43,3124.2,310.2,103.4,482.8,vit_small_patch16_224.augreg_in21k,8,64,20
main__vit_s__ssf__cifar10__s42__f100__r8__a64__p20,main,ssf,cifar10,vit_s,1.0,10,3,128,0.002,42,40714,21706378,0.1876,98.33,98.33,4376.3,370.5,123.5,404.3,vit_small_patch16_224.augreg_in21k,8,64,20
main__vit_s__vpt__cifar10__s42__f100__r8__a64__p20,main,vpt,cifar10,vit_s,1.0,10,3,128,0.005,42,11530,21677194,0.0532,97.57,97.57,3393.6,324.2,108.1,462.0,vit_small_patch16_224.augreg_in21k,8,64,20
