,ViT-S,ViT-B
Linear,88.86275,89.86642857142859
BitFit,90.762,91.96685714285715
VPT,89.59525,91.08657142857143
SSF,90.84325,92.02885714285715
LoRA,91.147,92.48628571428571
AdaptFormer,91.2345,92.90757142857142
LoRA+SSF(ours),91.02525,92.07233333333333
Full FT,90.6375,91.28766666666667
